Month,#Passengers
2015-01,54997.06
2015-02,58106.93
2015-03,55865.17
2015-04,50903.68
2015-05,49260.16
2015-06,49594.54
2015-07,40140.82
2015-08,42825.19
2015-09,49705.24
2015-10,44995.87
2015-11,49305.2
2015-12,53697.56
2016-01,42713.39
2016-02,49205.59
2016-03,51832.57
2016-04,43197.72
2016-05,46704.31
2016-06,49062.98
2016-07,42726.69
2016-08,45315.79
2016-09,46875.67
2016-10,57353.84
2016-11,44723.21
2016-12,52119.89
2017-01,47157.45
2017-02,57651.1
2017-03,65467.86
2017-04,74077.61
2017-05,74400.76
2017-06,63168.32
2017-07,58581.11
2017-08,68100.82
2017-09,73222.96
2017-10,64349.69
2017-11,66098.73
2017-12,73745.69
2018-01,58903.45
2018-02,67870.01
2018-03,72171.47
2018-04,60293.99
2018-05,76611.55
2018-06,69173.22
2018-07,52482
2018-08,60656.84
2018-09,64887.28
2018-10,61677.79
2018-11,55857.62
2018-12,64955.79
2019-01,60199.79
2019-02,68552.6
2019-03,70921.47
2019-04,77455.87
2019-05,73566.13
2019-06,78076.67
2019-07,77250.84
2019-08,77320.35
2019-09,61397.39
2019-10,59355.85
2019-11,59174.8
2019-12,64013.35
