Month,#Passengers
2008-01,45689.67
2008-02,42126.34
2008-03,43640.37
2008-04,44925.84
2008-05,48789.16
2008-06,45081.46
2008-07,38721.77
2008-08,38254.6
2008-09,37703.62
2008-10,43569.36
2008-11,39682.2
2008-12,44533.65
2009-01,38837.82
2009-02,33155.75
2009-03,34073.68
2009-04,34533.61
2009-05,33105.31
2009-06,34740.8
2009-07,44413.12
2009-08,38680.45
2009-09,42433.94
2009-10,47713.14
2009-11,51881.4
2009-12,40108.35
2010-01,41782.02
2010-02,48336.7
2010-03,48347.05
2010-04,42297.02
2010-05,49704.88
2010-06,46983.48
2010-07,40056.14
2010-08,51055.82
2010-09,56773.09
2010-10,65682.74
2010-11,78272.52
2010-12,62456.33
2011-01,42633.46
2011-02,51759.26
2011-03,39302.04
2011-04,48743.87
2011-05,47416.41
2011-06,47473.03
2011-07,46644.61
2011-08,46762.31
2011-09,53174.56
2011-10,51511.79
2011-11,58713.02
2011-12,49957.54
2012-01,48238.39
2012-02,54691.73
2012-03,55229.52
2012-04,61946.29
2012-05,59043.76
2012-06,61007.11
2012-07,65102.09
2012-08,62491.52
2012-09,66165.3
2012-10,66461.52
2012-11,72001.99
2012-12,67297.38
2013-01,61915.88
2013-02,76217.67
2013-03,65994.45
2013-04,75050.81
2013-05,78747.71
2013-06,70903.42
2013-07,78760.19
2013-08,81599.26
2013-09,89727.34
2013-10,84639.41
2013-11,87287.59
2013-12,82437.98
2014-01,76442.49
2014-02,84134.17
2014-03,84134.17
2014-04,81319.85
2014-05,96331.22
2014-06,85707.94
2014-07,89974.19
2014-08,116485.88
2014-09,112749.41
2014-10,84575.65
2014-11,93050.24
2014-12,94890.55
2015-01,89035.02
2015-02,77459.71
2015-03,90451.21
2015-04,88723.11
2015-05,99602.58
2015-06,91504.57
2015-07,97823.98
2015-08,90584.05
2015-09,90325.24
2015-10,90815.18
2015-11,88103.85
2015-12,107115.44
2016-01,98102.65
2016-02,88362.64
2016-03,98909.85
2016-04,90469.74
2016-05,96155.3
2016-06,98752.39
2016-07,96513.95
2016-08,90478.49
2016-09,98844.43
2016-10,115474.64
2016-11,92511.86
2016-12,102191.88
2017-01,95181.67
2017-02,103874.5
2017-03,109068.03
2017-04,91572.56
2017-05,95540.95
2017-06,89104.77
2017-07,83566.77
2017-08,100396.48
2017-09,107596.56
2017-10,79857.35
2017-11,89056.25
2017-12,97113.3
2018-01,85294.69
2018-02,87289.68
2018-03,96415.86
2018-04,85908.8
2018-05,98987.34
2018-06,97117.23
2018-07,92604.34
2018-08,103234
2018-09,102494.9
2018-10,120467.65
2018-11,116364.41
2018-12,113243.69
2019-01,106847.31
2019-02,94528.27
2019-03,104670.79
2019-04,88353.8
2019-05,105480.05
2019-06,95230.11
2019-07,102324.13
2019-08,101855.83
2019-09,91482.29
2019-10,99809.36
2019-11,107985.19
2019-12,108337.97
