Month,#Passengers
2008-01,5719.06
2008-02,7889.59
2008-03,6626.07
2008-04,6916.26
2008-05,7339.99
2008-06,7957.23
2008-07,9134.17
2008-08,7265.34
2008-09,8567.85
2008-10,7995.93
2008-11,8070.37
2008-12,10953.09
2009-01,6808.67
2009-02,7587.96
2009-03,9575.24
2009-04,8302.68
2009-05,6816.94
2009-06,8673.1
2009-07,6116.81
2009-08,6935.42
2009-09,7799.02
2009-10,7714.29
2009-11,10010.2
2009-12,8214.72
2010-01,8595.96
2010-02,11314.94
2010-03,8539.02
2010-04,10655.96
2010-05,9921.27
2010-06,10797.62
2010-07,9766.45
2010-08,10924.08
2010-09,13300.28
2010-10,20518.21
2010-11,13155.08
2010-12,13057.56
2011-01,12003.09
2011-02,15401.99
2011-03,12324.87
2011-04,13759.45
2011-05,13801.47
2011-06,12173.11
2011-07,14305.85
2011-08,15499.67
2011-09,12287.6
2011-10,16064.43
2011-11,19382.87
2011-12,17175.22
2012-01,18855.18
2012-02,22165.15
2012-03,19253.1
2012-04,20835.51
2012-05,19945.66
2012-06,19979.67
2012-07,18114.55
2012-08,18152.37
2012-09,18916.17
2012-10,18586.57
2012-11,23088.39
2012-12,20749.55
2013-01,18071.18
2013-02,26320.88
2013-03,23523.32
2013-04,23345.6
2013-05,27911.89
2013-06,31034.23
2013-07,29918.81
2013-08,26206.22
2013-09,29153.75
2013-10,28586.4
2013-11,22127.24
2013-12,24701.26
2014-01,29933.82
2014-02,37055.07
2014-03,37055.07
2014-04,38181.1
2014-05,41562.56
2014-06,40731.68
2014-07,40948.09
2014-08,40266.71
2014-09,56852.41
2014-10,38383.75
2014-11,39744.64
2014-12,41659.75
2015-01,41470.86
2015-02,44066.98
2015-03,50996.03
2015-04,50364.08
2015-05,58087.73
2015-06,49452.2
2015-07,44508.81
2015-08,49532.06
2015-09,45577.62
2015-10,47351.13
2015-11,44524.72
2015-12,49662.17
2016-01,49066.11
2016-02,52081.36
2016-03,58021.92
2016-04,64254.03
2016-05,62722.48
2016-06,61672.84
2016-07,67259.7
2016-08,54719.8
2016-09,56936.44
2016-10,61232.02
2016-11,55810.09
2016-12,65097.41
2017-01,56450.69
2017-02,60121.24
2017-03,71971.15
2017-04,70968.9
2017-05,75130.51
2017-06,72081.9
2017-07,67486.7
2017-08,66923.67
2017-09,69853.12
2017-10,59548.25
2017-11,66851.53
2017-12,75615.13
2018-01,68446.61
2018-02,69583.87
2018-03,82559.96
2018-04,80056.9
2018-05,87204.39
2018-06,80568.44
2018-07,71146.73
2018-08,94419.81
2018-09,90140.69
2018-10,102811.47
2018-11,110980.56
2018-12,103941.51
2019-01,95779.22
2019-02,91892.86
2019-03,104690.31
2019-04,101500.22
2019-05,107376.51
2019-06,108147.54
2019-07,114110.05
2019-08,121579.61
2019-09,108283.23
2019-10,101106.53
2019-11,100390.61
2019-12,127160.05
