Month,#Passengers
2008-01,194971.61
2008-02,172723.63
2008-03,186938.45
2008-04,172080.38
2008-05,167045.75
2008-06,196756.52
2008-07,127628.4
2008-08,113116.12
2008-09,112637.49
2008-10,60697.14
2008-11,91783
2008-12,90815.16
2009-01,36677.61
2009-02,174416.94
2009-03,164989.29
2009-04,158393
2009-05,184756.3
2009-06,183900.74
2009-07,94298.92
2009-08,56901.37
2009-09,53362.66
2009-10,88437.99
2009-11,104464.37
2009-12,115399.47
2010-01,113931.94
2010-02,124667.2
2010-03,97564.15
2010-04,103233.38
2010-05,112053.02
2010-06,93266.05
2010-07,99198.02
2010-08,109725.97
2010-09,72603.73
2010-10,129640.19
2010-11,172033.77
2010-12,185420.72
2011-01,145753.67
2011-02,203017.96
2011-03,158816.66
2011-04,193034.65
2011-05,160711.09
2011-06,167908.42
2011-07,128694.51
2011-08,151549.6
2011-09,248851.16
2011-10,320550.56
2011-11,439661.25
2011-12,393941.39
2012-01,380822.18
2012-02,317949.94
2012-03,259080.39
2012-04,396245.61
2012-05,423433.45
2012-06,356493.91
2012-07,356049.99
2012-08,422863.35
2012-09,384907.94
2012-10,393691.59
2012-11,562628.7
2012-12,559217.73
2013-01,531440.71
2013-02,610727.78
2013-03,553068.47
2013-04,574254.95
2013-05,627876.54
2013-06,586413.71
2013-07,506759.85
2013-08,432268.48
2013-09,351140.74
2013-10,368198.46
2013-11,578305.06
2013-12,608408.17
2014-01,603727.7
2014-02,563862.89
2014-03,563862.89
2014-04,548825.05
2014-05,648223.1
2014-06,601207.29
2014-07,445209.56
2014-08,421508.29
2014-09,432628.41
2014-10,447233.45
2014-11,447914.46
2014-12,484857.12
2015-01,480524.6
2015-02,442657.75
2015-03,427432.89
2015-04,363201.75
2015-05,429886.25
2015-06,387988.3
2015-07,347811.89
2015-08,320533.17
2015-09,398799.12
2015-10,281888.29
2015-11,295567.72
2015-12,322361.99
2016-01,333757.41
2016-02,283567.46
2016-03,331263.35
2016-04,331458.85
2016-05,362074.84
2016-06,425392.49
2016-07,358196.96
2016-08,303403.23
2016-09,275193.69
2016-10,222663.45
2016-11,249762.79
2016-12,307193.72
2017-01,371661.15
2017-02,391495.67
2017-03,433153.8
2017-04,385235.08
2017-05,434121.09
2017-06,503538.44
2017-07,417083.6
2017-08,414798.71
2017-09,426495.6
2017-10,371250.83
2017-11,381952
2017-12,424985.7
2018-01,459773.1
2018-02,482443.93
2018-03,552034.28
2018-04,483549.11
2018-05,556477.43
2018-06,508100.49
2018-07,480786
2018-08,395300.47
2018-09,343546.54
2018-10,358966.48
2018-11,323284.13
2018-12,484180.83
2019-01,539334.39
2019-02,539773.33
2019-03,669555.8
2019-04,424230.51
2019-05,464749.09
2019-06,375235.12
2019-07,368937.94
2019-08,307903.43
2019-09,278579.53
2019-10,238331.85
2019-11,334999.31
2019-12,458034.14
