Month,#Passengers
2008-01,279.75
2008-02,313.74
2008-03,548.72
2008-04,433.2
2008-05,635.69
2008-06,1223.78
2008-07,493.6
2008-08,885.65
2008-09,752.18
2008-10,678.28
2008-11,469.26
2008-12,1141.96
2009-01,334.15
2009-02,607.19
2009-03,748.97
2009-04,390.18
2009-05,705.29
2009-06,752.64
2009-07,442.26
2009-08,688.65
2009-09,1056.24
2009-10,1008.56
2009-11,1040.11
2009-12,1055.46
2010-01,1111.17
2010-02,756.16
2010-03,882.83
2010-04,712.41
2010-05,916.64
2010-06,1025.34
2010-07,1099.02
2010-08,1634.9
2010-09,927.21
2010-10,1302.29
2010-11,1332.87
2010-12,1271.62
2011-01,342.68
2011-02,1249.02
2011-03,615.41
2011-04,1742.76
2011-05,1691.66
2011-06,1050.26
2011-07,1191.42
2011-08,1200.52
2011-09,800.78
2011-10,1101.51
2011-11,1549.68
2011-12,2426.87
2012-01,2002.32
2012-02,2224.43
2012-03,2388.2
2012-04,2912.38
2012-05,2837.64
2012-06,2236.31
2012-07,2342.23
2012-08,2046.96
2012-09,2764.94
2012-10,2363.74
2012-11,2294.68
2012-12,2332.46
2013-01,1724.37
2013-02,3148.21
2013-03,2371.66
2013-04,3513.61
2013-05,3153.08
2013-06,3096.35
2013-07,5768.64
2013-08,4589.86
2013-09,5113.6
2013-10,4652.99
2013-11,5552.9
2013-12,6083.02
2014-01,5836.72
2014-02,7589.31
2014-03,7589.31
2014-04,5625.11
2014-05,7444.29
2014-06,8478.83
2014-07,7849.47
2014-08,6486.12
2014-09,6227.15
2014-10,5810.41
2014-11,7321.45
2014-12,6115.92
2015-01,7553.73
2015-02,7597.16
2015-03,8356.02
2015-04,9758.97
2015-05,7910.15
2015-06,7612.14
2015-07,8144.69
2015-08,10687.49
2015-09,12027.54
2015-10,13769.56
2015-11,10805.91
2015-12,12071.94
2016-01,12089.65
2016-02,7714.48
2016-03,14168.15
2016-04,11959.06
2016-05,9866.22
2016-06,8288.35
2016-07,6994.95
2016-08,11932.72
2016-09,10905.7
2016-10,8350.17
2016-11,8234.38
2016-12,9288.46
2017-01,6568.47
2017-02,6897.18
2017-03,9391.62
2017-04,9178.02
2017-05,6731.26
2017-06,9206.75
2017-07,7741.19
2017-08,9401.57
2017-09,9400.25
2017-10,9896.37
2017-11,8815.15
2017-12,11902.07
2018-01,8387.38
2018-02,9143.31
2018-03,14631.23
2018-04,11806.12
2018-05,8357.63
2018-06,8706.52
2018-07,8983.34
2018-08,11876.73
2018-09,13483.78
2018-10,15056.99
2018-11,11378.89
2018-12,11271.65
2019-01,12854.7
2019-02,11636.59
2019-03,9673.21
2019-04,9085.86
2019-05,11935.45
2019-06,10698.23
2019-07,11187.12
2019-08,10744.66
2019-09,11670.29
2019-10,12267.11
2019-11,12863.55
2019-12,8944.87
