Month,#Passengers
2008-01,43282.67
2008-02,48038.61
2008-03,84663.31
2008-04,61890.36
2008-05,71627.54
2008-06,71986.98
2008-07,75475.64
2008-08,64643.1
2008-09,68400.99
2008-10,60859.78
2008-11,60282.17
2008-12,49564.5
2009-01,53880.99
2009-02,54206.19
2009-03,75197.31
2009-04,53411.81
2009-05,47012.67
2009-06,53185.42
2009-07,61803.8
2009-08,56932.01
2009-09,75210.86
2009-10,69814.76
2009-11,62618.75
2009-12,61415.91
2010-01,67302.61
2010-02,90378.38
2010-03,69932.15
2010-04,68968.8
2010-05,67362.44
2010-06,78582.4
2010-07,81868.54
2010-08,80798.89
2010-09,80139.75
2010-10,78824.58
2010-11,94835.09
2010-12,84523.54
2011-01,85629.44
2011-02,121367.63
2011-03,94017.54
2011-04,113421.96
2011-05,119680.43
2011-06,113960.61
2011-07,133164.3
2011-08,135545.11
2011-09,125050.59
2011-10,119603.34
2011-11,124798.42
2011-12,107671.25
2012-01,118147.14
2012-02,161276.81
2012-03,126211.45
2012-04,131916.95
2012-05,137621.02
2012-06,139774.22
2012-07,127214.43
2012-08,132977.02
2012-09,110562.56
2012-10,94987.4
2012-11,109344.86
2012-12,100375.49
2013-01,116599.92
2013-02,165139.37
2013-03,117804.32
2013-04,119361.78
2013-05,126561.64
2013-06,132865.52
2013-07,143277.56
2013-08,151262.09
2013-09,145174.19
2013-10,134573.53
2013-11,134744.34
2013-12,135046.93
2014-01,145884.04
2014-02,176975.19
2014-03,176975.19
2014-04,146047.05
2014-05,147904.92
2014-06,134942.1
2014-07,140201.14
2014-08,141674.05
2014-09,149755.26
2014-10,135514.15
2014-11,145879.99
2014-12,138428.01
2015-01,128107.17
2015-02,152226.17
2015-03,195630.04
2015-04,174864.87
2015-05,173249.74
2015-06,151993.16
2015-07,164720.24
2015-08,163608.82
2015-09,154782.2
2015-10,147796.39
2015-11,134066.5
2015-12,158659.73
2016-01,149339.05
2016-02,154653.78
2016-03,204921.1
2016-04,183227.89
2016-05,188089.45
2016-06,177211.12
2016-07,169595.12
2016-08,173063.7
2016-09,171942.49
2016-10,163807.3
2016-11,147503.19
2016-12,174201.63
2017-01,157867.63
2017-02,183970.29
2017-03,243964.89
2017-04,194517.72
2017-05,177780.06
2017-06,169553.02
2017-07,147078.71
2017-08,184748.49
2017-09,193449.81
2017-10,157168.71
2017-11,178253.51
2017-12,181091.4
2018-01,139769.34
2018-02,172243.24
2018-03,238724.03
2018-04,191129.64
2018-05,196082.03
2018-06,185637.84
2018-07,177013.61
2018-08,161841.63
2018-09,171806.81
2018-10,189023.62
2018-11,183752.15
2018-12,173273.36
2019-01,150687.22
2019-02,198178.06
2019-03,255174.12
2019-04,194865.4
2019-05,209504.19
2019-06,192925.89
2019-07,232099.12
2019-08,200931.04
2019-09,187884.81
2019-10,168661.5
2019-11,159314.38
2019-12,183518.28
