Month,#Passengers
2008-01,273333.02
2008-02,238479.57
2008-03,274355.11
2008-04,188782.69
2008-05,150789.02
2008-06,137809
2008-07,116229.92
2008-08,96130.09
2008-09,93130.84
2008-10,103895.72
2008-11,120718.68
2008-12,102387.8
2009-01,95914.69
2009-02,101332.57
2009-03,115309.42
2009-04,95134.14
2009-05,99558.66
2009-06,145245.23
2009-07,104277.58
2009-08,106891.68
2009-09,164709.61
2009-10,224466.68
2009-11,289969.69
2009-12,239626.04
2010-01,247568.96
2010-02,346597.6
2010-03,244837.04
2010-04,139306.27
2010-05,151437.77
2010-06,184515.51
2010-07,157993.25
2010-08,134738.34
2010-09,147512.19
2010-10,534292.51
2010-11,637937.8
2010-12,231015.18
2011-01,351356.16
2011-02,228105.79
2011-03,186032.28
2011-04,182582.6
2011-05,170703.57
2011-06,251911.86
2011-07,241395.81
2011-08,415268.36
2011-09,286835.46
2011-10,576989.36
2011-11,511512.53
2011-12,662375.34
2012-01,588780.73
2012-02,285786.5
2012-03,439012.59
2012-04,358181.1
2012-05,329020.63
2012-06,277918.81
2012-07,220116.57
2012-08,225475.36
2012-09,243427.03
2012-10,365926.41
2012-11,588514.7
2012-12,666457.11
2013-01,623419.51
2013-02,513960.32
2013-03,308241
2013-04,319056.26
2013-05,363678.31
2013-06,379988.02
2013-07,393166.51
2013-08,374038.03
2013-09,400075.64
2013-10,705008.79
2013-11,812019.03
2013-12,767454.01
2014-01,603865.96
2014-02,622067.47
2014-03,622067.47
2014-04,479147.68
2014-05,415636.48
2014-06,326296.18
2014-07,299148.11
2014-08,317612.43
2014-09,324291.7
2014-10,335883.85
2014-11,452873.71
2014-12,496883.06
2015-01,419942.32
2015-02,415477.07
2015-03,441277.23
2015-04,346134.99
2015-05,326288.9
2015-06,324791.03
2015-07,361620.23
2015-08,356879.88
2015-09,370039.24
2015-10,370664.79
2015-11,480258.34
2015-12,590525.25
2016-01,455435.7
2016-02,414367.73
2016-03,401346.1
2016-04,335079.32
2016-05,317811.24
2016-06,302854.17
2016-07,261709.07
2016-08,255020.81
2016-09,271438.54
2016-10,273203.6
2016-11,398441.24
2016-12,553446.74
2017-01,570446.74
2017-02,458058.3
2017-03,441666.28
2017-04,328950.31
2017-05,319452.55
2017-06,311447.1
2017-07,267677.69
2017-08,278502.56
2017-09,318066.38
2017-10,307634.27
2017-11,422985.8
2017-12,517645.04
2018-01,457025.88
2018-02,461085.86
2018-03,550677.29
2018-04,495927.39
2018-05,464068.01
2018-06,470292.78
2018-07,461371.09
2018-08,429733.19
2018-09,373012.13
2018-10,403125.97
2018-11,464679.48
2018-12,512068.51
2019-01,463795.78
2019-02,439293.81
2019-03,524702.02
2019-04,339766.43
2019-05,317528.29
2019-06,255548.5
2019-07,260251.09
2019-08,277464.58
2019-09,274468.7
2019-10,302624.8
2019-11,348528.27
2019-12,422369.88
