Month,#Passengers
2008-01,17905.88
2008-02,16948.9
2008-03,19605.52
2008-04,20428.49
2008-05,19698.62
2008-06,16591.11
2008-07,17098.62
2008-08,13968.81
2008-09,13247.15
2008-10,12636.01
2008-11,10370.29
2008-12,9686.04
2009-01,7603.91
2009-02,5970.44
2009-03,6943.12
2009-04,4953.53
2009-05,5174.59
2009-06,5670.4
2009-07,5174.71
2009-08,5713.05
2009-09,6363.22
2009-10,8977.46
2009-11,11131.92
2009-12,11052.15
2010-01,8877.42
2010-02,13401.48
2010-03,12515.5
2010-04,8120.13
2010-05,8294.26
2010-06,6684.08
2010-07,8141.57
2010-08,7188.5
2010-09,7865.61
2010-10,6993.95
2010-11,10215.42
2010-12,8982.7
2011-01,12322.59
2011-02,15705.09
2011-03,14705.86
2011-04,7021.11
2011-05,6218.46
2011-06,5912.85
2011-07,6213.83
2011-08,6281.79
2011-09,5909.39
2011-10,6132.6
2011-11,8336.34
2011-12,8708.23
2012-01,10350.47
2012-02,14032.38
2012-03,13450.75
2012-04,8731.47
2012-05,10429.07
2012-06,11476.15
2012-07,14849.65
2012-08,16139.5
2012-09,20384.91
2012-10,16319.7
2012-11,23404.68
2012-12,21290.32
2013-01,28380.49
2013-02,37757.84
2013-03,30204.87
2013-04,31196.92
2013-05,29130.02
2013-06,27229.92
2013-07,32398.58
2013-08,36479.67
2013-09,29087.48
2013-10,34146.84
2013-11,48918.22
2013-12,51588.61
2014-01,36508.33
2014-02,40520.63
2014-03,40520.63
2014-04,27276.68
2014-05,25391.78
2014-06,21312.36
2014-07,19543.18
2014-08,16680.57
2014-09,14096.09
2014-10,11942.31
2014-11,15269.27
2014-12,16425.91
2015-01,15078.24
2015-02,20847.6
2015-03,27494.14
2015-04,19137.76
2015-05,20429.13
2015-06,19368.35
2015-07,20490.42
2015-08,16799.17
2015-09,18762.11
2015-10,16277.09
2015-11,14393.05
2015-12,16488.4
2016-01,17011.41
2016-02,15205.61
2016-03,20218.77
2016-04,15499.76
2016-05,18614.51
2016-06,16004.26
2016-07,12843.25
2016-08,12983.83
2016-09,13848.17
2016-10,14976.77
2016-11,14828.78
2016-12,17067.95
2017-01,17521.17
2017-02,18039.31
2017-03,24124.9
2017-04,18470.25
2017-05,15984.85
2017-06,15232.07
2017-07,17328.51
2017-08,17499.92
2017-09,20696.02
2017-10,17586.27
2017-11,20690.98
2017-12,21126.56
2018-01,20233.81
2018-02,20089.68
2018-03,31437.22
2018-04,26334.69
2018-05,25349.86
2018-06,23119.36
2018-07,17186.47
2018-08,21941.26
2018-09,31604.84
2018-10,28270.85
2018-11,33344.7
2018-12,50742.04
2019-01,29369.33
2019-02,31859.37
2019-03,58201.23
2019-04,33514.39
2019-05,25162.4
2019-06,18214.18
2019-07,17180.84
2019-08,19378.74
2019-09,18378.47
2019-10,19894.26
2019-11,19744.03
2019-12,22953.16
