Month,#Passengers
2008-01,28475.7
2008-02,36303.84
2008-03,54618.81
2008-04,47522.79
2008-05,38434.64
2008-06,43031.31
2008-07,50116.55
2008-08,42176.38
2008-09,37094.94
2008-10,38751.3
2008-11,40703.66
2008-12,31338.81
2009-01,37761.64
2009-02,39303.57
2009-03,49231.46
2009-04,47205.59
2009-05,39467.5
2009-06,42266.12
2009-07,43978.43
2009-08,30649.12
2009-09,41814.47
2009-10,39479.43
2009-11,43788.7
2009-12,39066.7
2010-01,44107.71
2010-02,60670.82
2010-03,51717.02
2010-04,40990.76
2010-05,35799.28
2010-06,41269.25
2010-07,37331.4
2010-08,31866.41
2010-09,32251.67
2010-10,39345.48
2010-11,46673.3
2010-12,43280.28
2011-01,46194.27
2011-02,70751.45
2011-03,49487.36
2011-04,53591.84
2011-05,54734.02
2011-06,57815.46
2011-07,58790.14
2011-08,46020.83
2011-09,58934.31
2011-10,60695.81
2011-11,75498.55
2011-12,68693.98
2012-01,64193.95
2012-02,80514.21
2012-03,77410.29
2012-04,73741.74
2012-05,65137.81
2012-06,58024.73
2012-07,55710.59
2012-08,45182.97
2012-09,44440.21
2012-10,50177.52
2012-11,60802.76
2012-12,61751.13
2013-01,65236.91
2013-02,109940.15
2013-03,99128.45
2013-04,70351.93
2013-05,68088.58
2013-06,68502.03
2013-07,77416.23
2013-08,63003.94
2013-09,69939.96
2013-10,76107.56
2013-11,79122.87
2013-12,81531.98
2014-01,90573.88
2014-02,134811.82
2014-03,134811.82
2014-04,97413.97
2014-05,73145.36
2014-06,70938.11
2014-07,71546.78
2014-08,74934.82
2014-09,63664.78
2014-10,85840.69
2014-11,82343.38
2014-12,83595.62
2015-01,128107.17
2015-02,152226.17
2015-03,195630.04
2015-04,174864.87
2015-05,173249.74
2015-06,151993.16
2015-07,164720.24
2015-08,163608.82
2015-09,154782.2
2015-10,147796.39
2015-11,134066.5
2015-12,158659.73
2016-01,149339.05
2016-02,154653.78
2016-03,204921.1
2016-04,183227.89
2016-05,188089.45
2016-06,177211.12
2016-07,169595.12
2016-08,173063.7
2016-09,171942.49
2016-10,163807.3
2016-11,147503.19
2016-12,174201.63
2017-01,157867.63
2017-02,183970.29
2017-03,243964.89
2017-04,194517.72
2017-05,177780.06
2017-06,169553.02
2017-07,147078.71
2017-08,184748.49
2017-09,193449.81
2017-10,157168.71
2017-11,178253.51
2017-12,181091.4
2018-01,139769.34
2018-02,172243.24
2018-03,238724.03
2018-04,191129.64
2018-05,196082.03
2018-06,185637.84
2018-07,177013.61
2018-08,161841.63
2018-09,171806.81
2018-10,189023.62
2018-11,183752.15
2018-12,173273.36
2019-01,150687.22
2019-02,198178.06
2019-03,255174.12
2019-04,194865.4
2019-05,209504.19
2019-06,192925.89
2019-07,232099.12
2019-08,200931.04
2019-09,187884.81
2019-10,168661.5
2019-11,159314.38
2019-12,183518.28
