Month,#Passengers
2015-01,60490.57
2015-02,52180.27
2015-03,67251.47
2015-04,64743.43
2015-05,63165.85
2015-06,64711.4
2015-07,59168.25
2015-08,58230.06
2015-09,60380.6
2015-10,66349.37
2015-11,78198.36
2015-12,91925.64
2016-01,63306.29
2016-02,67546.75
2016-03,89013.43
2016-04,70366.9
2016-05,72613.93
2016-06,64117.42
2016-07,53315.44
2016-08,73080.9
2016-09,85758.11
2016-10,83638.68
2016-11,82369.22
2016-12,81709.72
2017-01,58498.88
2017-02,60753.64
2017-03,81757.21
2017-04,74302.79
2017-05,73300.37
2017-06,54176.48
2017-07,61139.94
2017-08,61363.15
2017-09,69147.54
2017-10,64908.35
2017-11,76163.82
2017-12,79313.99
2018-01,64472.58
2018-02,69672.93
2018-03,93808.48
2018-04,82947.95
2018-05,83801.57
2018-06,64834.49
2018-07,76606.62
2018-08,84787.67
2018-09,87058.01
2018-10,84738.59
2018-11,70168.96
2018-12,70785.93
2019-01,60001.69
2019-02,63243.55
2019-03,80045.33
2019-04,71375.47
2019-05,74362.67
2019-06,74466.13
2019-07,74338.19
2019-08,67675.67
2019-09,89264.56
2019-10,51616.08
2019-11,45707.93
2019-12,47639.52
