Month,#Passengers
2008-01,29291
2008-02,31458.95
2008-03,54990.97
2008-04,47621.57
2008-05,41284.98
2008-06,56765.74
2008-07,56175.7
2008-08,49398.69
2008-09,54595.69
2008-10,43456.94
2008-11,43035.7
2008-12,33667.43
2009-01,29623.36
2009-02,28850.45
2009-03,32083.47
2009-04,27306.48
2009-05,27298.33
2009-06,26496.02
2009-07,34019.35
2009-08,23963.13
2009-09,43260.65
2009-10,51894.04
2009-11,54993.22
2009-12,52021.29
2010-01,37202.67
2010-02,43557.85
2010-03,33791
2010-04,42197.11
2010-05,41571.71
2010-06,32794.42
2010-07,38787.86
2010-08,149437.32
2010-09,80937.94
2010-10,205112.44
2010-11,68034.33
2010-12,40985.54
2011-01,43894.98
2011-02,61393.42
2011-03,40100
2011-04,54872.58
2011-05,48887.32
2011-06,81285.94
2011-07,56876.56
2011-08,67119.27
2011-09,50780.61
2011-10,53257.81
2011-11,59342.69
2011-12,99950.96
2012-01,58947.87
2012-02,197525.19
2012-03,49357.16
2012-04,62588.11
2012-05,60171.71
2012-06,59087.7
2012-07,66382.06
2012-08,52292.86
2012-09,62947.35
2012-10,51932.78
2012-11,54374.29
2012-12,53780.88
2013-01,65563.86
2013-02,79118.78
2013-03,55079.09
2013-04,63406.62
2013-05,63499.68
2013-06,65318.37
2013-07,64173.93
2013-08,76198.36
2013-09,75078.74
2013-10,55344.01
2013-11,78801.24
2013-12,79760.38
2014-01,57997.77
2014-02,91130.24
2014-03,91130.24
2014-04,73311.61
2014-05,69687
2014-06,61441.32
2014-07,67008.37
2014-08,79038.89
2014-09,74211.58
2014-10,62880.42
2014-11,77120.03
2014-12,86720.26
2015-01,77211.96
2015-02,69314.39
2015-03,76971.76
2015-04,45461.52
2015-05,61130.32
2015-06,59577.46
2015-07,65814.9
2015-08,75214.86
2015-09,66769.52
2015-10,69658.07
2015-11,61021.92
2015-12,80668.56
2016-01,54147.97
2016-02,66331.58
2016-03,85543.38
2016-04,60219.83
2016-05,66889.22
2016-06,70248.82
2016-07,67915.57
2016-08,67968.26
2016-09,71441.59
2016-10,66364.94
2016-11,70082.21
2016-12,89749.4
2017-01,70599.12
2017-02,85600.67
2017-03,126708.97
2017-04,83380.24
2017-05,76208.46
2017-06,67659.87
2017-07,84519.1
2017-08,77692.48
2017-09,96809.84
2017-10,77750.45
2017-11,105407.01
2017-12,105257.77
2018-01,108914.92
2018-02,102270.2
2018-03,131598.75
2018-04,101733.74
2018-05,114498.9
2018-06,131439.82
2018-07,103063.61
2018-08,127924.88
2018-09,119297.77
2018-10,122500.34
2018-11,101492.62
2018-12,125363.5
2019-01,110361.82
2019-02,102338.66
2019-03,145610.65
2019-04,84858.39
2019-05,105522.64
2019-06,103164.21
2019-07,103654.67
2019-08,102864.08
2019-09,104558.03
2019-10,97920.4
2019-11,110585.24
2019-12,110189.38
