Month,#Passengers
2008-01,3404.06
2008-02,3251.97
2008-03,4116.01
2008-04,3957.41
2008-05,4516.31
2008-06,4621.08
2008-07,4639.02
2008-08,4389.98
2008-09,3719.1
2008-10,4117.8
2008-11,3326.43
2008-12,3418.14
2009-01,2721.77
2009-02,2565.32
2009-03,3175.86
2009-04,3257.21
2009-05,5043.34
2009-06,6630.91
2009-07,4516.41
2009-08,4496.23
2009-09,5296.45
2009-10,4500.9
2009-11,5211.19
2009-12,4500.4
2010-01,4291.34
2010-02,4612.37
2010-03,4221.62
2010-04,4858.15
2010-05,6113.41
2010-06,5718.14
2010-07,6621.92
2010-08,6246.67
2010-09,4379.91
2010-10,5307.2
2010-11,8735.34
2010-12,11050.27
2011-01,11704.48
2011-02,15012.2
2011-03,14864.9
2011-04,13382.1
2011-05,9865.89
2011-06,8288.49
2011-07,6879.39
2011-08,6076.08
2011-09,7309.15
2011-10,7235.92
2011-11,7933.12
2011-12,7571.98
2012-01,6461.57
2012-02,8730.93
2012-03,8939.83
2012-04,10865.54
2012-05,10167.63
2012-06,10380.7
2012-07,9692.8
2012-08,9219.52
2012-09,9295.61
2012-10,9483.53
2012-11,10989.22
2012-12,9941.42
2013-01,8664.79
2013-02,11173.82
2013-03,8063.15
2013-04,9913.07
2013-05,11207.22
2013-06,11982.22
2013-07,13257.1
2013-08,13563.73
2013-09,13974.52
2013-10,12980.44
2013-11,13026.61
2013-12,12866.07
2014-01,12843.48
2014-02,13422.21
2014-03,13422.21
2014-04,12550.15
2014-05,12940.26
2014-06,12363.16
2014-07,13054.33
2014-08,12731.96
2014-09,13767.42
2014-10,13757.82
2014-11,13687.87
2014-12,14000.66
2015-01,12803.26
2015-02,12273.42
2015-03,13127.49
2015-04,12699.41
2015-05,13272.45
2015-06,11262.32
2015-07,12120.48
2015-08,11881.46
2015-09,13523.1
2015-10,15173.26
2015-11,11710.89
2015-12,14493.44
2016-01,13634.69
2016-02,13692.96
2016-03,14957.15
2016-04,13922.53
2016-05,13835.2
2016-06,14615.79
2016-07,14310.88
2016-08,13925.28
2016-09,16389.77
2016-10,17069.66
2016-11,16978.5
2016-12,16552.93
2017-01,17820.11
2017-02,16777.27
2017-03,18630.16
2017-04,15859.01
2017-05,14568.08
2017-06,17130.07
2017-07,17009.57
2017-08,16614.2
2017-09,18700.55
2017-10,17543.78
2017-11,18350.16
2017-12,19369.78
2018-01,19099.21
2018-02,20339.19
2018-03,26501.44
2018-04,22661.54
2018-05,24321.77
2018-06,23999.5
2018-07,19330.67
2018-08,25058.17
2018-09,25997.67
2018-10,26843
2018-11,25732.92
2018-12,27918.02
2019-01,27153.15
2019-02,27141.16
2019-03,31867.11
2019-04,23167.91
2019-05,24798.22
2019-06,23626.59
2019-07,24129.93
2019-08,26453.13
2019-09,24785.59
2019-10,26259.78
2019-11,26010.18
2019-12,26567.1
