Month,#Passengers
2008-01,425.16
2008-02,255.31
2008-03,293.92
2008-04,303.52
2008-05,278.86
2008-06,315.39
2008-07,459.9
2008-08,544.27
2008-09,342.75
2008-10,574.2
2008-11,878.54
2008-12,487.11
2009-01,675.47
2009-02,448.15
2009-03,348.74
2009-04,478.25
2009-05,497.5
2009-06,565.1
2009-07,289.39
2009-08,2012.77
2009-09,825.03
2009-10,637.6
2009-11,498.67
2009-12,473.5
2010-01,381.19
2010-02,331.24
2010-03,417.94
2010-04,309.01
2010-05,439.43
2010-06,649.07
2010-07,535.82
2010-08,590.1
2010-09,619.84
2010-10,425.02
2010-11,449.85
2010-12,451.01
2011-01,394.22
2011-02,309.65
2011-03,315.36
2011-04,394.23
2011-05,511.37
2011-06,533.59
2011-07,722.43
2011-08,817.59
2011-09,611.1
2011-10,481.07
2011-11,592.81
2011-12,415.19
2012-01,355.24
2012-02,414.78
2012-03,394.96
2012-04,316.65
2012-05,512.15
2012-06,449.22
2012-07,482.6
2012-08,392.89
2012-09,612.99
2012-10,596.48
2012-11,519.84
2012-12,671.02
2013-01,472.53
2013-02,350.64
2013-03,337.6
2013-04,355.16
2013-05,387.31
2013-06,666.62
2013-07,796.31
2013-08,615.92
2013-09,826.67
2013-10,588.7
2013-11,635.64
2013-12,691.41
2014-01,517.87
2014-02,510.54
2014-03,510.54
2014-04,666
2014-05,533.23
2014-06,607.58
2014-07,655.7
2014-08,774.98
2014-09,770.64
2014-10,840.16
2014-11,655.98
2014-12,666.76
2015-01,594.57
2015-02,492.56
2015-03,517.16
2015-04,4024.01
2015-05,4588.17
2015-06,798.13
2015-07,1046
2015-08,675.39
2015-09,8642.76
2015-10,3852.81
2015-11,3870.66
2015-12,4547.53
2016-01,4921.52
2016-02,4691.69
2016-03,4939.18
2016-04,4977.76
2016-05,6386.63
2016-06,1135.22
2016-07,1499.2
2016-08,1610.05
2016-09,9006.41
2016-10,4811.88
2016-11,3758.74
2016-12,4608.14
2017-01,4377.49
2017-02,4802.68
2017-03,5765.69
2017-04,3858.46
2017-05,6297.86
2017-06,1422.63
2017-07,1850.54
2017-08,2962.68
2017-09,3903.42
2017-10,2829.89
2017-11,3831.29
2017-12,3921.67
2018-01,3622.07
2018-02,3350.49
2018-03,3296.97
2018-04,3503.65
2018-05,5756.11
2018-06,2058.39
2018-07,1990.82
2018-08,2628.62
2018-09,1963.01
2018-10,2862.44
2018-11,1496.87
2018-12,2350.14
2019-01,2272.82
2019-02,2069.92
2019-03,855.97
2019-04,1017.13
2019-05,4653.76
2019-06,386.95
2019-07,1031.65
2019-08,1168.45
2019-09,1169.18
2019-10,1500.78
2019-11,2265.29
2019-12,111.73
