Month,#Passengers
2008-01,2461.96
2008-02,2792.14
2008-03,3173.3
2008-04,2684.41
2008-05,3017.57
2008-06,3125.15
2008-07,3615.67
2008-08,3884.09
2008-09,3670.72
2008-10,2842.25
2008-11,2318.42
2008-12,2053.52
2009-01,2728.51
2009-02,3732.17
2009-03,3208.92
2009-04,2562.13
2009-05,2723.71
2009-06,2344.54
2009-07,3061.98
2009-08,2681.07
2009-09,2347.7
2009-10,1544.5
2009-11,1857.78
2009-12,1928.94
2010-01,2510.4
2010-02,2716.73
2010-03,2046.47
2010-04,2345.54
2010-05,2223.64
2010-06,3231.6
2010-07,3325.11
2010-08,2679.94
2010-09,2006.17
2010-10,1888.92
2010-11,1979.62
2010-12,1895.43
2011-01,3128.72
2011-02,2852.88
2011-03,2545.96
2011-04,2990.86
2011-05,2906.21
2011-06,3392.76
2011-07,2952.44
2011-08,3644.24
2011-09,2660.49
2011-10,2351.62
2011-11,2949.61
2011-12,3080.61
2012-01,3498.94
2012-02,3558.42
2012-03,3034.48
2012-04,3450.8
2012-05,3497.68
2012-06,3832.01
2012-07,3959.16
2012-08,4281.26
2012-09,3471.74
2012-10,2868.5
2012-11,3332.03
2012-12,3034.32
2013-01,3755.57
2013-02,3827.02
2013-03,3131.67
2013-04,3385.02
2013-05,4240.43
2013-06,3632.86
2013-07,4219.63
2013-08,4141.17
2013-09,3576.61
2013-10,3580.35
2013-11,3202.79
2013-12,3609.15
2014-01,4957.81
2014-02,3912.95
2014-03,3912.95
2014-04,3309.84
2014-05,4138.02
2014-06,3666.27
2014-07,3651.91
2014-08,4282.17
2014-09,4456.05
2014-10,3379.7
2014-11,3103.85
2014-12,3137.85
2015-01,5178.38
2015-02,3757.73
2015-03,2792.06
2015-04,4165.82
2015-05,3523.94
2015-06,6298.39
2015-07,3693.23
2015-08,3091.89
2015-09,6250.67
2015-10,3989.67
2015-11,5723.31
2015-12,2846.1
2016-01,5476.22
2016-02,9398.78
2016-03,5793.4
2016-04,3857.87
2016-05,3363.08
2016-06,3736.16
2016-07,5350.33
2016-08,4365.39
2016-09,4488.44
2016-10,4000.22
2016-11,5095.53
2016-12,6810.03
2017-01,5052.03
2017-02,4637.23
2017-03,2820.66
2017-04,3291.79
2017-05,3376.56
2017-06,3468.58
2017-07,5137.43
2017-08,5436.01
2017-09,9011.89
2017-10,8251.37
2017-11,10136.14
2017-12,8921.46
2018-01,4653.31
2018-02,6983.17
2018-03,9735.33
2018-04,5289.85
2018-05,5571.29
2018-06,6465.31
2018-07,5671.66
2018-08,9465.83
2018-09,8846.26
2018-10,10990.47
2018-11,8048.14
2018-12,10065.31
2019-01,8255.36
2019-02,5643.32
2019-03,8448.64
2019-04,5923.1
2019-05,5524.54
2019-06,7287.51
2019-07,4439.82
2019-08,4759.02
2019-09,5206.02
2019-10,4487.34
2019-11,7582.33
2019-12,3898.5
