Month,#Passengers
2008-01,2323.16
2008-02,1904.73
2008-03,2300.86
2008-04,1988.48
2008-05,2617.46
2008-06,2960.6
2008-07,2717.83
2008-08,2713.42
2008-09,1790.85
2008-10,1826.49
2008-11,1627.43
2008-12,1563.62
2009-01,1489.43
2009-02,1600.46
2009-03,1796.25
2009-04,2264.22
2009-05,1959.87
2009-06,2717.17
2009-07,2728.46
2009-08,2383.79
2009-09,3017.4
2009-10,2681.66
2009-11,2514.24
2009-12,2404.58
2010-01,2680.3
2010-02,2760.38
2010-03,1896.54
2010-04,2402.28
2010-05,2854.95
2010-06,2762.79
2010-07,2821.84
2010-08,3678.86
2010-09,2803.29
2010-10,3395.78
2010-11,4351.92
2010-12,4628.48
2011-01,4815.96
2011-02,7074.55
2011-03,2983.13
2011-04,3814.13
2011-05,3997.91
2011-06,4578.46
2011-07,4705.64
2011-08,4757.34
2011-09,5519.19
2011-10,6827.12
2011-11,9612.25
2011-12,8149.47
2012-01,8067.85
2012-02,12029.32
2012-03,8833.53
2012-04,10495.09
2012-05,9157.33
2012-06,10944.49
2012-07,10233.72
2012-08,9275.1
2012-09,9871.9
2012-10,9238.21
2012-11,10465.38
2012-12,10595.95
2013-01,9964.68
2013-02,14227.97
2013-03,12609.2
2013-04,13036.05
2013-05,15870.67
2013-06,17022.94
2013-07,19214.87
2013-08,17093.2
2013-09,14094.49
2013-10,14962.47
2013-11,14446.65
2013-12,14448.36
2014-01,13108.19
2014-02,15174.31
2014-03,15174.31
2014-04,14887.39
2014-05,16215.31
2014-06,16189.46
2014-07,15662.03
2014-08,15674.6
2014-09,15415.65
2014-10,16064.71
2014-11,17994.06
2014-12,16575.77
2015-01,13750.15
2015-02,14186.65
2015-03,14093.35
2015-04,15703.92
2015-05,18959.88
2015-06,19301.62
2015-07,19798.89
2015-08,16179.82
2015-09,15913.31
2015-10,17068.89
2015-11,13857.18
2015-12,15661.16
2016-01,14009.33
2016-02,14857.55
2016-03,14197.44
2016-04,13935.16
2016-05,13338.19
2016-06,12384.38
2016-07,11763.29
2016-08,15027.13
2016-09,11785.73
2016-10,11194.3
2016-11,9817.66
2016-12,12305.71
2017-01,10607.98
2017-02,10994.35
2017-03,12962.29
2017-04,12237.28
2017-05,12649.03
2017-06,12215.76
2017-07,11634.53
2017-08,12904.73
2017-09,14726.58
2017-10,11008.06
2017-11,13644.08
2017-12,14122.58
2018-01,12503.83
2018-02,14572.29
2018-03,17252.12
2018-04,17873.36
2018-05,17454.14
2018-06,17968.3
2018-07,14160.02
2018-08,19870.97
2018-09,22249.63
2018-10,22262.21
2018-11,20802.96
2018-12,18509.35
2019-01,18492.41
2019-02,15899.31
2019-03,19397.27
2019-04,22047.29
2019-05,23438.09
2019-06,21403.17
2019-07,21569.72
2019-08,20512.14
2019-09,20512.04
2019-10,18222.58
2019-11,17378.79
2019-12,19222.28
