Month,#Passengers
2008-01,42199.09
2008-02,37158.95
2008-03,48570.23
2008-04,47874.6
2008-05,40555.98
2008-06,41526.02
2008-07,39891.32
2008-08,30843.96
2008-09,22049.53
2008-10,28079.5
2008-11,28642.38
2008-12,26699.51
2009-01,28530.09
2009-02,33039.65
2009-03,31791.62
2009-04,30712.65
2009-05,33434.67
2009-06,44564.68
2009-07,18018.22
2009-08,18332.43
2009-09,27173.96
2009-10,41045.5
2009-11,36628.79
2009-12,29989.5
2010-01,40470.5
2010-02,43184.29
2010-03,37906.1
2010-04,34408.81
2010-05,48602.23
2010-06,36870.29
2010-07,28490.19
2010-08,29430.57
2010-09,50549.97
2010-10,54444.74
2010-11,64713.75
2010-12,51838.42
2011-01,60629.09
2011-02,67368.06
2011-03,49373.4
2011-04,69103.38
2011-05,103336.04
2011-06,122874.61
2011-07,52726.2
2011-08,47070.54
2011-09,51661.42
2011-10,88902.05
2011-11,100548.11
2011-12,91220.78
2012-01,76077.49
2012-02,110001.33
2012-03,93469.12
2012-04,92306.72
2012-05,119286.65
2012-06,86014.66
2012-07,69911.32
2012-08,47191.88
2012-09,38722.03
2012-10,62217.55
2012-11,77586.86
2012-12,78878.76
2013-01,86037.33
2013-02,89360.66
2013-03,62156.28
2013-04,83184.09
2013-05,85690.47
2013-06,87482.91
2013-07,78933.03
2013-08,67973.87
2013-09,61359.98
2013-10,98851.52
2013-11,118640.29
2013-12,93161.38
2014-01,96842.51
2014-02,100442.45
2014-03,100442.45
2014-04,85236.44
2014-05,98542.61
2014-06,120552.11
2014-07,108076.24
2014-08,102042.18
2014-09,79998.34
2014-10,79537.9
2014-11,179252.86
2014-12,173343.5
2015-01,121736.06
2015-02,98849.85
2015-03,108916.11
2015-04,93279.33
2015-05,90040.54
2015-06,86457.76
2015-07,78920.07
2015-08,86865.51
2015-09,62597.4
2015-10,69158.76
2015-11,91643.06
2015-12,131669.94
2016-01,103210.28
2016-02,95862.38
2016-03,107072.68
2016-04,98756.75
2016-05,99368.62
2016-06,106565.84
2016-07,93111.61
2016-08,63102.17
2016-09,52255.17
2016-10,74844.75
2016-11,104337.67
2016-12,159962.56
2017-01,129074.07
2017-02,115531.17
2017-03,117679.03
2017-04,91068.88
2017-05,74581.21
2017-06,75807.66
2017-07,83772.94
2017-08,75284.89
2017-09,68509.82
2017-10,77298.8
2017-11,137017.33
2017-12,114589.2
2018-01,78649.31
2018-02,80285.51
2018-03,105272.88
2018-04,87756.09
2018-05,95258.97
2018-06,104798.18
2018-07,95769.89
2018-08,98680.59
2018-09,78238.69
2018-10,84581.58
2018-11,103691.86
2018-12,100099.72
2019-01,89037.48
2019-02,88694.73
2019-03,118383.38
2019-04,92293.42
2019-05,104961.44
2019-06,83931.35
2019-07,91228.37
2019-08,72371.89
2019-09,60080.25
2019-10,71015.93
2019-11,149386.62
2019-12,180343.86
