Month,#Passengers
2008-01,301614.68
2008-02,355069.73
2008-03,376034.17
2008-04,273486.09
2008-05,237800.61
2008-06,200590.1
2008-07,243230.73
2008-08,162141.22
2008-09,153674.66
2008-10,70746.3
2008-11,100135.57
2008-12,246745.91
2009-01,301911.01
2009-02,299756.28
2009-03,191279.83
2009-04,206336.9
2009-05,153635.64
2009-06,159187.19
2009-07,211811.26
2009-08,221743.43
2009-09,256425.73
2009-10,291615.53
2009-11,330833.58
2009-12,312638.83
2010-01,366984.23
2010-02,444392.27
2010-03,479516.37
2010-04,329988.71
2010-05,213851.68
2010-06,139986.66
2010-07,145197.85
2010-08,119167.57
2010-09,133863.57
2010-10,188841.58
2010-11,167149.46
2010-12,182374.35
2011-01,90639.37
2011-02,196856.08
2011-03,185262.45
2011-04,192930.49
2011-05,113294.92
2011-06,171503.21
2011-07,207378.14
2011-08,195687.45
2011-09,269651.9
2011-10,191380.32
2011-11,296326.81
2011-12,313464.19
2012-01,222843.49
2012-02,262007.41
2012-03,209275.89
2012-04,271559.41
2012-05,104345.49
2012-06,96695.13
2012-07,76016.19
2012-08,50914.58
2012-09,46507.32
2012-10,53810.01
2012-11,54948.65
2012-12,100426.39
2013-01,84260.31
2013-02,142776.19
2013-03,101797.8
2013-04,96293.27
2013-05,78142.45
2013-06,106387.27
2013-07,151459.06
2013-08,114891.4
2013-09,88570.47
2013-10,135422.17
2013-11,106300.06
2013-12,109525.93
2014-01,97923.82
2014-02,147798.94
2014-03,147798.94
2014-04,106787.45
2014-05,76259.81
2014-06,40563.65
2014-07,42326.27
2014-08,38697.64
2014-09,34208.73
2014-10,28135.68
2014-11,31677.42
2014-12,70270.53
2015-01,38748.88
2015-02,33938.57
2015-03,57614.57
2015-04,17579.84
2015-05,43263.73
2015-06,38974.33
2015-07,31836.24
2015-08,30500.73
2015-09,35392.12
2015-10,42403.9
2015-11,39291.23
2015-12,52242.25
2016-01,30801.22
2016-02,38239.94
2016-03,51857.34
2016-04,52444.08
2016-05,78751.92
2016-06,63900.51
2016-07,62166.12
2016-08,74771.84
2016-09,80420.16
2016-10,88215.09
2016-11,121465.12
2016-12,151301.13
2017-01,134595.01
2017-02,159766.72
2017-03,203968.14
2017-04,142470.05
2017-05,92012.81
2017-06,50633.81
2017-07,80802.76
2017-08,94944.68
2017-09,69909.03
2017-10,93828
2017-11,112708.81
2017-12,108510.74
2018-01,81859.03
2018-02,98770.76
2018-03,132207.19
2018-04,88387.36
2018-05,75404.05
2018-06,89167.07
2018-07,63406.51
2018-08,55879.57
2018-09,115904.62
2018-10,119849.48
2018-11,125356.45
2018-12,125454.63
2019-01,119171.62
2019-02,143809.95
2019-03,169153.58
2019-04,166316.39
2019-05,177330.67
2019-06,170875.87
2019-07,234742.24
2019-08,266238.22
2019-09,185645.37
2019-10,165351.21
2019-11,151834.95
2019-12,173960.75
