Month,#Passengers
2015-01,57278.52
2015-02,53814.4
2015-03,63098.6
2015-04,57822.05
2015-05,65333.37
2015-06,62662.52
2015-07,70520.46
2015-08,60843.04
2015-09,64232.51
2015-10,60173.33
2015-11,50930.15
2015-12,64072.4
2016-01,63064.11
2016-02,60848.42
2016-03,68889.99
2016-04,64345.89
2016-05,82807.84
2016-06,72162.66
2016-07,73545.36
2016-08,65632
2016-09,66355.16
2016-10,63118.26
2016-11,56527.66
2016-12,63989.91
2017-01,56071.13
2017-02,54982.6
2017-03,66043.53
2017-04,61683.81
2017-05,64454.84
2017-06,69883.97
2017-07,71790.77
2017-08,69644.21
2017-09,74557.5
2017-10,77054.57
2017-11,87827.63
2017-12,87023.28
2018-01,78601.27
2018-02,80278.27
2018-03,99222.34
2018-04,91602.69
2018-05,110818.66
2018-06,117830.73
2018-07,109019.21
2018-08,128215.84
2018-09,117380.06
2018-10,109740.45
2018-11,100797.15
2018-12,107825.04
2019-01,139281.41
2019-02,118740.87
2019-03,140265.4
2019-04,125166.24
2019-05,132537.02
2019-06,115171.48
2019-07,117564.45
2019-08,115859.24
2019-09,105962.74
2019-10,117066.53
2019-11,112409.96
2019-12,113467.07
