Month,#Passengers
2015-01,580664.09
2015-02,541110.32
2015-03,654992.15
2015-04,647702.13
2015-05,741701.69
2015-06,704742.61
2015-07,715277.18
2015-08,674462.52
2015-09,684078.75
2015-10,748772.58
2015-11,617255.91
2015-12,737125.46
2016-01,735734.61
2016-02,661770.29
2016-03,779482.59
2016-04,720440.16
2016-05,679988.96
2016-06,727800.23
2016-07,762536.61
2016-08,711754.61
2016-09,727571.53
2016-10,766292.17
2016-11,684299.98
2016-12,822724.45
2017-01,659577.68
2017-02,602095.1
2017-03,805467.38
2017-04,630981.29
2017-05,582302.43
2017-06,682798.32
2017-07,699996.7
2017-08,724360.47
2017-09,793029.51
2017-10,669574
2017-11,713150.37
2017-12,830934.54
2018-01,662994.34
2018-02,683225.99
2018-03,871381.5
2018-04,704265.24
2018-05,777484.69
2018-06,834319.36
2018-07,759200.36
2018-08,916431.36
2018-09,941810.9
2018-10,871104.16
2018-11,829143.43
2018-12,903770.55
2019-01,857754.62
2019-02,885992.56
2019-03,1042715.39
2019-04,830677.07
2019-05,896670.1
2019-06,1005757.39
2019-07,927971.83
2019-08,943416.35
2019-09,1013879.23
2019-10,954177.92
2019-11,1021613.49
2019-12,1059800.06
