Month,#Passengers
2015-01,128570.22
2015-02,121764.36
2015-03,143151.75
2015-04,127750.88
2015-05,124821.62
2015-06,127452.48
2015-07,138214.49
2015-08,123154.52
2015-09,120738.32
2015-10,127726.11
2015-11,105140.58
2015-12,136329.77
2016-01,134935.49
2016-02,133151.29
2016-03,151483.39
2016-04,126559.16
2016-05,128935.81
2016-06,130372.25
2016-07,140893.51
2016-08,131390.2
2016-09,132226.48
2016-10,137370.18
2016-11,125711.26
2016-12,155659.08
2017-01,141162.61
2017-02,148985.45
2017-03,172551.79
2017-04,137722.67
2017-05,139968.46
2017-06,149945.37
2017-07,153659.15
2017-08,155016.1
2017-09,166348.11
2017-10,146468.04
2017-11,167669.01
2017-12,180028.53
2018-01,157875.07
2018-02,162463.9
2018-03,191958.77
2018-04,167209.54
2018-05,171163.88
2018-06,179550.86
2018-07,178119.49
2018-08,203730.84
2018-09,191572.36
2018-10,188099.75
2018-11,172375.67
2018-12,200968.5
2019-01,185264.43
2019-02,182418.12
2019-03,221401.66
2019-04,177400.4
2019-05,188171.74
2019-06,181055.86
2019-07,180339.94
2019-08,188226.45
2019-09,185186.4
2019-10,187977.31
2019-11,186742.14
2019-12,208659.58
