Month,#Passengers
2015-01,106501.58
2015-02,93895.13
2015-03,105772.87
2015-04,102000
2015-05,104928.99
2015-06,101253.02
2015-07,101996.87
2015-08,92064.24
2015-09,92043.51
2015-10,84714.08
2015-11,81759.07
2015-12,108500.71
2016-01,110430.08
2016-02,119874.84
2016-03,113466.39
2016-04,103386.24
2016-05,114843.81
2016-06,105674.27
2016-07,104487.54
2016-08,101846.77
2016-09,99013.12
2016-10,97068.14
2016-11,102786.91
2016-12,117120.16
2017-01,112469.1
2017-02,111905.93
2017-03,121453.44
2017-04,118403.75
2017-05,111036.35
2017-06,110953.15
2017-07,102719.01
2017-08,116488.42
2017-09,115818.3
2017-10,98890.85
2017-11,117988.95
2017-12,127254.47
2018-01,127873.76
2018-02,131623.07
2018-03,152274.33
2018-04,133589.61
2018-05,140032.98
2018-06,131554.72
2018-07,128348.17
2018-08,135409.5
2018-09,126278.74
2018-10,130685.53
2018-11,131959.29
2018-12,126264.32
2019-01,123953.07
2019-02,119021.08
2019-03,132251.17
2019-04,103495.68
2019-05,127924.7
2019-06,114425.95
2019-07,118598.68
2019-08,111333.75
2019-09,113251.43
2019-10,111521.21
2019-11,125457.17
2019-12,114081.43
