Month,#Passengers
2015-01,6632.21
2015-02,5626.5
2015-03,6321.85
2015-04,6217.84
2015-05,5778.68
2015-06,6826.45
2015-07,6217.83
2015-08,5672.73
2015-09,6120.61
2015-10,5931.69
2015-11,4638.93
2015-12,5260.1
2016-01,5749.33
2016-02,4647.96
2016-03,5171.09
2016-04,5122.68
2016-05,6153.2
2016-06,5342.69
2016-07,4988.28
2016-08,4833.28
2016-09,4630.8
2016-10,5756.36
2016-11,4014.8
2016-12,4496.1
2017-01,4430.5
2017-02,3881.6
2017-03,4479.38
2017-04,3971.51
2017-05,4893.45
2017-06,3655.76
2017-07,3471.22
2017-08,4044.67
2017-09,5359.7
2017-10,3506.23
2017-11,3973.07
2017-12,4221.65
2018-01,3938.82
2018-02,3831.82
2018-03,4781.21
2018-04,4154.17
2018-05,4554.16
2018-06,5292.86
2018-07,4010.72
2018-08,4722.01
2018-09,6058.29
2018-10,5808.93
2018-11,5092.12
2018-12,4403.59
2019-01,5166.46
2019-02,4584.29
2019-03,5308.5
2019-04,4360.64
2019-05,4582.35
2019-06,3805.36
2019-07,4051.43
2019-08,4814.01
2019-09,5243.43
2019-10,5136.7
2019-11,6170.77
2019-12,6126.85
