Month,#Passengers
2015-01,25041.2
2015-02,25334.55
2015-03,26427.17
2015-04,25192.84
2015-05,26507.04
2015-06,24671.51
2015-07,29979.46
2015-08,26310.97
2015-09,26190.42
2015-10,24946.96
2015-11,22299.68
2015-12,27165.41
2016-01,25617.06
2016-02,26419.97
2016-03,31035.24
2016-04,26252.34
2016-05,27486.7
2016-06,30702.24
2016-07,30242.52
2016-08,29955.15
2016-09,27081.9
2016-10,29665.42
2016-11,28927.31
2016-12,31788.31
2017-01,27137.59
2017-02,25560.02
2017-03,32788.12
2017-04,30885.61
2017-05,30515.3
2017-06,31210.06
2017-07,30471.5
2017-08,31307.15
2017-09,34480.13
2017-10,28446.61
2017-11,32734.88
2017-12,33414.2
2018-01,27242.74
2018-02,29164.39
2018-03,38096.93
2018-04,33303.15
2018-05,34273.65
2018-06,34724.28
2018-07,30045.42
2018-08,37230.44
2018-09,37116.91
2018-10,35988.72
2018-11,34269.65
2018-12,38974.85
2019-01,36232.91
2019-02,36563.84
2019-03,44244.65
2019-04,34734.51
2019-05,39117.8
2019-06,38427.45
2019-07,36649
2019-08,37420.01
2019-09,36349.36
2019-10,35354.01
2019-11,36062.39
2019-12,39872.02
