Month,#Passengers
2015-01,57011.34
2015-02,63444.83
2015-03,77572.35
2015-04,86446.55
2015-05,65375.42
2015-06,78542.52
2015-07,75538.93
2015-08,60174.45
2015-09,68813.66
2015-10,70617.68
2015-11,82941.8
2015-12,155052.04
2016-01,147168.58
2016-02,126580.16
2016-03,143528.48
2016-04,104865.76
2016-05,102116.22
2016-06,69510.37
2016-07,81386.57
2016-08,94369.81
2016-09,65109.32
2016-10,67544.95
2016-11,74496.85
2016-12,106827.86
2017-01,87300.71
2017-02,79022.86
2017-03,79367.01
2017-04,68092.9
2017-05,67597.53
2017-06,59938.53
2017-07,59807.95
2017-08,54173.05
2017-09,61554.93
2017-10,62689.24
2017-11,37922
2017-12,60152.64
2018-01,42606.78
2018-02,49621.96
2018-03,32366.94
2018-04,53844.33
2018-05,59011.26
2018-06,94728.78
2018-07,77021.53
2018-08,70748.48
2018-09,63607.98
2018-10,63328.17
2018-11,81738.35
2018-12,131323.64
2019-01,120387.19
2019-02,138330.38
2019-03,186400.54
2019-04,143319.45
2019-05,147597.67
2019-06,96574.16
2019-07,89455.36
2019-08,79952.77
2019-09,83210.06
2019-10,71987.02
2019-11,95488.77
2019-12,133696.69
