Month,#Passengers
2015-01,1126.71
2015-02,1019.88
2015-03,218.85
2015-04,779.16
2015-05,1161.41
2015-06,1199.48
2015-07,740.34
2015-08,128.3
2015-09,632.8
2015-10,338.45
2015-11,440.51
2015-12,365.21
2016-01,913.35
2016-02,38.46
2016-03,655.53
2016-04,127.38
2016-05,190.18
2016-06,668.69
2016-07,1832.99
2016-08,933.45
2016-09,74.93
2016-10,81.57
2016-11,196.07
2016-12,50.25
2017-01,300.26
2017-02,222.07
2017-03,125.4
2017-04,4.74
2017-05,294.17
2017-06,23.18
2017-07,11.28
2017-08,15.16
2017-09,28.79
2017-10,78.21
2017-11,30.82
2017-12,34.36
2018-01,71.64
2018-02,80.02
2018-03,81.43
2018-04,89.83
2018-05,124.65
2018-06,404.59
2018-07,92.95
2018-08,204.7
2018-09,298.72
2018-10,640.53
2018-11,141.87
2018-12,123.25
2019-01,78.47
2019-02,104.68
2019-03,172.44
2019-04,22.27
2019-05,172.76
2019-06,613.44
2019-07,1151.62
2019-08,489.07
2019-09,135.95
2019-10,730.04
2019-11,1409.08
2019-12,744.66
