Month,#Passengers
2015-01,9691.88
2015-02,10039.89
2015-03,10300.72
2015-04,9458.97
2015-05,11047.15
2015-06,8728.69
2015-07,9082.66
2015-08,9597.48
2015-09,9951.62
2015-10,9271.49
2015-11,7814.83
2015-12,11242.54
2016-01,9745.37
2016-02,9389.8
2016-03,11317.33
2016-04,9401.95
2016-05,10161.78
2016-06,9830.07
2016-07,8069.84
2016-08,7334.8
2016-09,8235.38
2016-10,7849.43
2016-11,7044.65
2016-12,9043.57
2017-01,10090.46
2017-02,10325.75
2017-03,10202.03
2017-04,9142.73
2017-05,8609.76
2017-06,7936.45
2017-07,6982.8
2017-08,7507.41
2017-09,7593.99
2017-10,7621.83
2017-11,7956.11
2017-12,11318.15
2018-01,8583.54
2018-02,10883.32
2018-03,11840.25
2018-04,9402.3
2018-05,11597.18
2018-06,11216.74
2018-07,7518.44
2018-08,11947.46
2018-09,11643.99
2018-10,11658.87
2018-11,9696.85
2018-12,12787.92
2019-01,12207.87
2019-02,12708.68
2019-03,16631.12
2019-04,10788.77
2019-05,11910.95
2019-06,9199.1
2019-07,9516.26
2019-08,8318.94
2019-09,10393.7
2019-10,8625.62
2019-11,7934.51
2019-12,9536.39
