Month,#Passengers
2015-01,22347.83
2015-02,17982.88
2015-03,19255.07
2015-04,18381.54
2015-05,20197.3
2015-06,19868.27
2015-07,20017.4
2015-08,20866.93
2015-09,21185.87
2015-10,21142.42
2015-11,16059.13
2015-12,17794.52
2016-01,18540.66
2016-02,17349.91
2016-03,18847.89
2016-04,20344.3
2016-05,23194.89
2016-06,22793.68
2016-07,21926.38
2016-08,19562.56
2016-09,21159
2016-10,24798.05
2016-11,16200.14
2016-12,18362.46
2017-01,19587.09
2017-02,20338.46
2017-03,22172.75
2017-04,22478.3
2017-05,20679.2
2017-06,19876.4
2017-07,20288.35
2017-08,19470.54
2017-09,22631.55
2017-10,18970.99
2017-11,19463.48
2017-12,19721.12
2018-01,18565.11
2018-02,18634.1
2018-03,21721.28
2018-04,23418.14
2018-05,20886.93
2018-06,19925.99
2018-07,22352.76
2018-08,21943.95
2018-09,23403.75
2018-10,23227.84
2018-11,18610.7
2018-12,20227.31
2019-01,21915.48
2019-02,19333.72
2019-03,28616.11
2019-04,22436.1
2019-05,28207.9
2019-06,23257.91
2019-07,22097.4
2019-08,24585.62
2019-09,27495.17
2019-10,27199.38
2019-11,22745.82
2019-12,23489.65
